-250000 -0.174461 -0.138091
-249939 -0.174377 -0.138077
-249878 -0.174294 -0.138063
-249817 -0.17421 -0.13805
-249756 -0.174127 -0.138036
-249695 -0.174043 -0.138022
-249634 -0.17396 -0.138009
-249573 -0.173876 -0.137995
-249512 -0.173793 -0.137981
-249451 -0.173709 -0.137968
-249390 -0.173626 -0.137954
-249329 -0.173542 -0.13794
-249268 -0.173459 -0.137927
-249207 -0.173375 -0.137913
-249146 -0.173291 -0.137899
-249084 -0.173208 -0.137885
-249023 -0.173124 -0.137872
-248962 -0.173041 -0.137858
-248901 -0.172957 -0.137844
-248840 -0.172873 -0.137831
-248779 -0.17279 -0.137817
-248718 -0.172706 -0.137803
-248657 -0.172622 -0.137789
-248596 -0.172539 -0.137776
-248535 -0.172455 -0.137762
-248474 -0.172371 -0.137748
-248413 -0.172288 -0.137735
-248352 -0.172204 -0.137721
-248291 -0.17212 -0.137707
-248230 -0.172036 -0.137693
-248169 -0.171953 -0.13768
-248108 -0.171869 -0.137666
-248047 -0.171785 -0.137652
-247986 -0.171701 -0.137639
-247925 -0.171618 -0.137625
-247864 -0.171534 -0.137611
-247803 -0.17145 -0.137597
-247742 -0.171366 -0.137584
-247681 -0.171282 -0.13757
-247620 -0.171199 -0.137556
-247559 -0.171115 -0.137542
-247498 -0.171031 -0.137529
-247437 -0.170947 -0.137515
-247375 -0.170863 -0.137501
-247314 -0.170779 -0.137487
-247253 -0.170695 -0.137474
-247192 -0.170611 -0.13746
-247131 -0.170528 -0.137446
-247070 -0.170444 -0.137432
-247009 -0.17036 -0.137419
-246948 -0.170276 -0.137405
-246887 -0.170192 -0.137391
-246826 -0.170108 -0.137377
-246765 -0.170024 -0.137364
-246704 -0.16994 -0.13735
-246643 -0.169856 -0.137336
-246582 -0.169772 -0.137322
-246521 -0.169688 -0.137308
-246460 -0.169604 -0.137295
-246399 -0.16952 -0.137281
-246338 -0.169436 -0.137267
-246277 -0.169352 -0.137253
-246216 -0.169268 -0.13724
-246155 -0.169184 -0.137226
-246094 -0.169099 -0.137212
-246033 -0.169015 -0.137198
-245972 -0.168931 -0.137184
-245911 -0.168847 -0.137171
-245850 -0.168763 -0.137157
-245789 -0.168679 -0.137143
-245728 -0.168595 -0.137129
-245667 -0.16851 -0.137115
