-250000 0.176095 -0.167149
-249939 0.176176 -0.166989
-249878 0.176257 -0.16683
-249817 0.176338 -0.16667
-249756 0.176419 -0.166511
-249695 0.1765 -0.166351
-249634 0.176581 -0.166191
-249573 0.176662 -0.166032
-249512 0.176743 -0.165872
-249451 0.176824 -0.165713
-249390 0.176905 -0.165553
-249329 0.176986 -0.165394
-249268 0.177067 -0.165234
-249207 0.177148 -0.165075
-249146 0.177229 -0.164915
-249084 0.177309 -0.164755
-249023 0.17739 -0.164596
-248962 0.177471 -0.164436
-248901 0.177552 -0.164277
-248840 0.177633 -0.164117
-248779 0.177714 -0.163957
-248718 0.177795 -0.163798
-248657 0.177876 -0.163638
-248596 0.177957 -0.163478
-248535 0.178038 -0.163319
-248474 0.178119 -0.163159
-248413 0.1782 -0.162999
-248352 0.178281 -0.16284
-248291 0.178362 -0.16268
-248230 0.178443 -0.16252
-248169 0.178524 -0.162361
-248108 0.178605 -0.162201
-248047 0.178686 -0.162041
-247986 0.178767 -0.161882
-247925 0.178848 -0.161722
-247864 0.178929 -0.161562
-247803 0.17901 -0.161402
-247742 0.179091 -0.161243
-247681 0.179172 -0.161083
-247620 0.179253 -0.160923
-247559 0.179334 -0.160763
-247498 0.179416 -0.160604
-247437 0.179497 -0.160444
-247375 0.179578 -0.160284
-247314 0.179659 -0.160124
-247253 0.17974 -0.159964
-247192 0.179821 -0.159805
-247131 0.179902 -0.159645
-247070 0.179983 -0.159485
-247009 0.180064 -0.159325
-246948 0.180145 -0.159165
-246887 0.180226 -0.159005
-246826 0.180307 -0.158845
-246765 0.180388 -0.158686
-246704 0.18047 -0.158526
-246643 0.180551 -0.158366
-246582 0.180632 -0.158206
-246521 0.180713 -0.158046
-246460 0.180794 -0.157886
-246399 0.180875 -0.157726
-246338 0.180956 -0.157566
-246277 0.181037 -0.157406
-246216 0.181118 -0.157246
-246155 0.1812 -0.157086
-246094 0.181281 -0.156926
-246033 0.181362 -0.156766
-245972 0.181443 -0.156606
-245911 0.181524 -0.156446
-245850 0.181605 -0.156286
-245789 0.181687 -0.156126
-245728 0.181768 -0.155966
-245667 0.181849 -0.155806
-245605 0.18193 -0.155646
-245544 0.182011 -0.155486
-245483 0.182092 -0.155326
-245422 0.182174 -0.155166
-245361 0.182255 -0.155006
-245300 0.182336 -0.154846
-245239 0.182417 -0.154686
-245178 0.182498 -0.154526
-245117 0.18258 -0.154366
-245056 0.182661 -0.154206
-244995 0.182742 -0.154045
-244934 0.182823 -0.153885
-244873 0.182905 -0.153725
-244812 0.182986 -0.153565
-244751 0.183067 -0.153405
-244690 0.183148 -0.153245
-244629 0.18323 -0.153084
-244568 0.183311 -0.152924
-244507 0.183392 -0.152764
-244446 0.183473 -0.152604
-244385 0.183555 -0.152444
-244324 0.183636 -0.152283
-244263 0.183717 -0.152123
-244202 0.183799 -0.151963
-244141 0.18388 -0.151803
-244080 0.183961 -0.151642
